Product Code,Plan,Loan Type - DATA,Loan Type - RBC
PLAN07_V1,7,MRP STD (Home Loans)-Munich Re,MRP STD (Home Loans)
PLAN07_V2,7,Personal Loan/Commercial Vehicle,Personal Loan/Commercial Vehicle
PLAN07_V3,7,General FCL,General FCL
PLAN07_V4,7,Personal Loan(Sathkara),Personal Loan(Sathkara)
PLAN07_V5,7,Business Loan,Business Loan
PLAN07_V6,7,CAR/Education Loans,CAR/Education Loans
PLAN07_V7,7,Free cover Lease protection,Free cover Lease protection
PLAN07_V8,7,Lease protection,Lease protection
PLAN07_V9,7,Loan against property,Loan against property
PLAN07_V10,7,HNB Exclusive FCL,HNB Exclusive FCL
PLAN07_V11,7,NSB Exclusive FCL,NSB Exclusive FCL
PLAN07_V12,7,NSB Personal Loan FCL ,NSB Personal Loan FCL
PLAN07_V13,7,SLPA Exclusive FCL,SLPA Exclusive FCL
PLAN07_V14,7,Colombo Dockyard Exclusive FCL,Colombo Dockyard Exclusive FCL
PLAN07_V15,7,DFCC (Exclusive)Personal - FCL,DFCC (Exclusive)Personal - FCL
PLAN07_V16,7,Key person SME Loan,Key Person SME Loan
PLAN07_V17,7,MRP STD (Home Loans)-RGA,MRP STD (Home Loans)
PLAN07_V18,7,SME - loan against property,SME - loan against property
PLAN07_V19,7,SME - Business loan,SME - Business loan
PLAN07_V20,7,HNB Personal Loan - FCL,HNB Personal Loan - FCL
PLAN11_V1,11,Micro Non FCL,Micro Non FCL
PLAN11_V2,11,Micro - HNB FCL,Micro - HNB FCL
PLAN11_V3,11,Micro - OB FCL,Micro - OB FCL
PLAN11_V4,11,Micro - PLUS FCL,Micro - PLUS FCL
PLAN11_V5,11,MICRO-HNB PREMIUM FCL,MICRO-HNB PREMIUM FCL
PLAN11_V6,11,MICRO-PREMIUM Non FCL,MICRO-PREMIUM Non FCL
PLAN11_V7,11,Micro - PLUS Non FCL,Micro - PLUS Non FCL
PLAN11_V8,11,MICRO-OB PREMIUM FCL,MICRO-OB PREMIUM FCL
PLAN11_V9,11,HNBF  Micro FCL,HNBF  Micro FCL
PLAN25_V1,25,MRP Takful - STD (Home Loans),MRP STD (Home Loans)
